사업체명,산업대분류,주소,상시근로자수,고용의무인원,장애인 근로자(2배수),장애인고용률(2배수)
태경산업(주),(L)부동산업(68),서울특별시 강서구,311,9,1,0.32
이베스트투자증권(주),(K)금융 및 보험업(64~66),서울특별시 영등포구,501,15,2,0.4
(주)동양,(C)제조업(10~34),서울특별시 영등포구,459,14,2,0.44
(주)리드코프,(K)금융 및 보험업(64~66),서울특별시 영등포구,407,12,2,0.49
(의료법인)성애병원,(Q)보건업 및 사회복지 서비스업(86~87),서울특별시 영등포구,593,18,3,0.51
(학)일송학원,(Q)보건업 및 사회복지 서비스업(86~87),서울특별시 영등포구,6548,202,35,0.53
교보증권(주),(K)금융 및 보험업(64~66),서울특별시 영등포구,923,28,5,0.54
한국노바티스(주),(G)도매 및 소매업(45~47),서울특별시 영등포구,552,17,3,0.54
에이아이지손해보험주식회사,(K)금융 및 보험업(64~66),서울특별시 영등포구,373,11,2,0.54
KB생명보험(주),(K)금융 및 보험업(64~66),서울특별시 영등포구,319,9,2,0.63
(주)콤텍시스템,(J)정보통신업(58~63),서울특별시 영등포구,457,14,3,0.66
미래에셋생명보험(주),(K)금융 및 보험업(64~66),서울특별시 영등포구,1050,32,7,0.67
(주)팜한농,(C)제조업(10~34),서울특별시 영등포구,1026,31,7,0.68
에이비엘생명보험,(K)금융 및 보험업(64~66),서울특별시 영등포구,872,27,6,0.69
유나이티드파슬서비스코리아 주식회사,(H)운수 및 창고업(49~52),서울특별시 영등포구,397,12,3,0.76
(주)대한항공,(H)운수 및 창고업(49~52),서울특별시 강서구,19203,595,147,0.77
한국발전기술주식회사,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 영등포구,717,22,6,0.84
(주)케이티에스물류,(H)운수 및 창고업(49~52),서울특별시 강서구,340,10,3,0.88
코나아이(주),(J)정보통신업(58~63),서울특별시 영등포구,340,10,3,0.88
예스이십사(주),(G)도매 및 소매업(45~47),서울특별시 영등포구,520,16,5,0.96
한국증권금융(주),(K)금융 및 보험업(64~66),서울특별시 영등포구,407,12,4,0.98
한진정보통신주식회사,(J)정보통신업(58~63),서울특별시 강서구,392,12,4,1.02
(주)에스비에스에이앤티,(J)정보통신업(58~63),서울특별시 양천구,483,14,5,1.04
케이티비투자증권(주),(K)금융 및 보험업(64~66),서울특별시 영등포구,385,11,4,1.04
신영증권(주),(K)금융 및 보험업(64~66),서울특별시 영등포구,648,20,7,1.08
에이치씨에이에스주식회사,(G)도매 및 소매업(45~47),서울특별시 영등포구,823,25,9,1.09
코오롱인더스트리(주),(C)제조업(10~34),서울특별시 강서구,3934,121,44,1.12
세원셀론텍(주),(C)제조업(10~34),서울특별시 영등포구,354,10,4,1.13
티센크루프엘리베이터,(C)제조업(10~34),서울특별시 양천구,1312,40,15,1.14
(재단법인)FITI시험연구원,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 강서구,559,17,7,1.25
한국플랜트서비스(주),"(D)전기, 가스, 증기 및 공기 조절 공급업(35)",서울특별시 영등포구,522,16,7,1.34
(주)컴투스,(J)정보통신업(58~63),서울특별시 금천구,913,28,2,0.22
부광약품(주),(C)제조업(10~34),서울특별시 동작구,632,19,2,0.32
주식회사그린웹서비스,(J)정보통신업(58~63),서울특별시 금천구,592,18,2,0.34
국도화학(주),(C)제조업(10~34),서울특별시 금천구,540,16,2,0.37
(주)한성크린텍,(F)건설업(41~42),서울특별시 구로구,533,16,2,0.38
(주)오르비텍,"(M)전문, 과학 및 기술 서비스업(70~73)",서울특별시 금천구,507,15,2,0.39
(주)대교,(P)교육 서비스업(85),서울특별시 관악구,2382,73,11,0.46
(주)대성엘텍,(C)제조업(10~34),서울특별시 금천구,373,11,2,0.54
한국야금(주),(C)제조업(10~34),서울특별시 금천구,629,19,4,0.64
(주)천재교육,(J)정보통신업(58~63),서울특별시 금천구,469,14,3,0.64
(주)우림에프엠지,(G)도매 및 소매업(45~47),서울특별시 동작구,868,26,7,0.81
세목반도체(주),(C)제조업(10~34),서울특별시 금천구,352,10,3,0.85
의료법인희명의료재단,(Q)보건업 및 사회복지 서비스업(86~87),서울특별시 금천구,351,10,3,0.85
바이엘코리아(주),(C)제조업(10~34),서울특별시 동작구,567,17,5,0.88
(주)유풍,(C)제조업(10~34),서울특별시 구로구,319,9,3,0.94
대성산업가스(주),(C)제조업(10~34),서울특별시 구로구,592,18,6,1.01
(주)메가마트,(G)도매 및 소매업(45~47),서울특별시 동작구,1363,42,14,1.03
(사)대한산업안전협회,"(S)협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",서울특별시 구로구,1077,33,14,1.3
(주)한양,(F)건설업(41~42),인천광역시 남동구,713,22,1,0.14
